회사명	종목코드
한화에스비아이스팩	317320
TS트릴리온	317240
이노벡스	279060
아모그린텍	125210
현대오토에버	307950
지노믹트리	228760
케이비17호스팩	317030
이지케어텍	099750
유안타제4호스팩	313750
미래에셋벤처투자	100790
드림텍	192650
더블유게임즈	192080
에코프로비엠	247540
셀리드	299660
우리금융지주	316140
천보	278280
이노테라피	246960
노랑풍선	104620
웹케시	053580
엘에이티	311060
에어부산	298690
비피도	238200
엔에이치스팩13호	310840
유틸렉스	263050
디케이티	290550
아이엘사이언스	307180
애니플러스	310200
테크엔	308700
오하임아이엔티	309930
위지윅스튜디오	299900
한국제8호스팩	310870
국전약품	307750
에이비엘바이오	298380
프로테옴텍	303360
머큐리	100590
전진바이오팜	110020
뉴트리	270870
상상인이안1호스팩	307870
이노메트리	302430
대유에이피	290120
에코캡	128540
원바이오젠	307280
베스파	299910
윙입푸드	900340
남화산업	111710
엠아이텍	179290
티로보틱스	117730
네오펙트	290660
에이펙스인텍	207490
티앤알바이오팹	246710
나라소프트	288490
아시아나IDT	267850
디알젬	263690
싸이토젠	217330
아주IB투자	027360
파멥신	208340
디케이앤디	263020
디자인	227100
노바렉스	194700
셀리버리	268600
대보마그네틱	290670
노바텍	285490
엘앤씨바이오	290650
네온테크	306620
로보티즈	108490
옵티팜	153710
에스퓨얼셀	288620
세아제강	306200
나우IB	293580
푸드나무	290720
하나제약	293480
크리스에프앤씨	110790
더블유에스아이	299170
지티지웰니스	219750
우진아이엔에스	010400
명성티엔에스	257370
엔피	291230
엔솔바이오사이언스	140610
디지캡	197140
지니틱스	303030
액트로	290740
오파스넷	173130
에이피티씨	089970
바이오솔루션	086820
더콘텐츠온	302920
대유	290380
신한알파리츠	293940
디아이티	110990
에스에스알	275630
한일시멘트	300720
휴네시온	290270
티웨이항공	091810
롯데정보통신	286940
한국유니온제약	080720
그리티	204020
알로이스	297570
올릭스	226950
테크트랜스	258050
효성중공업	298040
효성첨단소재	298050
효성티앤씨	298020
효성화학	298000
아이큐어	175250
SV인베스트먼트	289080
엘리비젼	276240
지앤이헬스케어	299480
이리츠코크렙	088260
EDGC	245620
에스엠비나	299670
HDC현대산업개발	294870
카이노스메드	284620
파워넷	037030
현대사료	016790
세종메디칼	258830
제노레이	122310
디피코	163430
다이노나	086080
제이시스메디칼	287410
에스제이켐	217910
JTC	950170
네오셈	253590
케어랩스	263700
애경산업	018250
에코마이스터	064510
린드먼아시아	277070
오스테오닉	226400
엔지켐생명과학	183490
동구바이오제약	006620
아시아종묘	154030
알리코제약	260660
셀트리온	068270
카페24	042000
링크제니시스	219420
배럴	267790
SG	255220
씨앤지하이테크	264660
쿠쿠홈시스	284740
SK케미칼	285130
시스웍	269620
라이프사이언스테크놀로지	285770
디바이스이엔지	187870
바이오시네틱스	281310
씨알푸드	236030
레이크머티리얼즈	281740
BGF리테일	282330
동양피스톤	092780
진에어	272450
씨티케이	260930
메카로	241770
에스트래픽	234300
케이씨텍	281820
체리부로	066360
대원	007680
비즈니스온	138580
동아타이어	282690
삼양패키징	272550
스튜디오드래곤	253450
비디아이	148140
코오롱티슈진	950160
EMB	278990
테이팩스	055490
롯데제과	280360
탑선	180060
영화테크	265560
세원	234100
상신전자	263810
야스	255440
인산가	277410
휴온스블러썸	263920
신흥에스이씨	243840
유티아이	179900
선익시스템	171090
엠플러스	259630
앱클론	174900
샘코	263540
펄어비스	263750
이십일스토어	270020
케이피에스	256940
시그넷이브이	260870
덕우전자	263600
명진홀딩스	267060
이더블유케이	258610
지엔원에너지	270520
알에스오토메이션	140670
컬러레이	900310
와이즈버즈	273060
모트렉스	118990
데이타솔루션	263800
지니언스	263860
디앤씨미디어	263720
셀트리온헬스케어	091990
이즈미디어	181340
루켄테크놀러지스	162120
힘스	238490
제일약품	271980
브이원텍	251630
아우딘퓨쳐스	227610
이녹스첨단소재	272290
카카오	035720
오리온	271560
하림지주	003380
덴티스	261200
메디안디노스틱	233250
나인테크	267320
다이오진	271850
에스알바이오텍	270210
뿌리깊은나무들	266170
보라티알	250000
매일유업	267980
삼양옵틱스	225190
이랜시스	264850
필옵틱스	161580
미원에스씨	268280
경동도시가스	267290
넷마블	251270
현대건설기계	267270
현대일렉트릭	267260
현대중공업지주	267250
포인트엔지니어링	256630
앙츠	267810
하나머티리얼즈	166090
소프트캠프	258790
와이엠티	251370
엠앤씨생명과학	225860
파워풀엑스	266870
크라운제과	264900
AP시스템	265520
유에스티	263770
이엘피	063760
유비쿼스	264450
서진시스템	178320
코미코	183300
아스타	246720
덴티움	145720
에스디생명공학	217480
신신제약	002800
에프엔에스테크	083500
모바일어플라이언스	087260
피씨엘	241820
호전실업	111110
서플러스글로벌	140070
유바이오로직스	206650
에스앤디	260970
도부마스크	227420
한국비엔씨	256840
피엔아이컴퍼니	242350
DSC인베스트먼트	241520
TS인베스트먼트	246690
셀젠텍	258250
마이크로프랜드	147760
바이오프로테크	199290
애니젠	196300
유니온커뮤니티	203450
신라젠	215600
자비스	254120
핸즈코퍼레이션	143210
오션브릿지	241790
퓨쳐켐	220100
뉴파워프라즈마	144960
엘앤케이바이오	156100
스템랩	258540
시큐센	232830
에이치엔티	176440
핸디소프트	220180
두산밥캣	241560
비플라이소프트	148780
삼성바이오로직스	207940
클리오	237880
오가닉티코스메틱	900300
얼라인드	238120
세화피앤씨	252500
굿센	243870
인크로스	216050
에이치엘사이언스	239610
코스메카코리아	241710
JW생명과학	234080
GRT	900290
안지오랩	251280
골든센츄리	900280
인텔리안테크	189300
에이치시티	072990
잉글우드랩	950140
앤디포스	238090
수산아이앤티	050960
미투온	201490
화승엔터프라이즈	241590
예선테크	250930
LS전선아시아	229640
모두투어리츠	204210
유니테크노	241690
모비스	250060
나무기술	242040
자이글	234920
일동제약	249420
헝셩그룹	900270
샘표식품	248170
에코마케팅	230360
블루탑	191600
두올	016740
엔지스테크널러지	208860
우리손에프앤지	073560
휴벡셀	212310
에스케이씨에스	224020
폴라리스웍스	123010
제노텍	066830
동서	026960
장원테크	174880
위니아딤채	071460
한국자산신탁	123890
한국토지신탁	034830
바이오리더스	142760
피앤씨테크	237750
로스웰	900260
에스엘에스바이오	246250
씨앤에스링크	245450
해성디에스	195870
녹십자랩셀	144510
에스티팜	237690
알엔투테크놀로지	148250
이비테크	208850
줌인터넷	239340
휴온스	243070
나눔테크	244880
KC산업	112190
용평리조트	070960
해태제과식품	101530
원익IPS	240810
인터코스	240340
로보쓰리	238500
레이언스	228850
씨엠에스에듀	225330
동양파일	228340
삼일씨엔에스	004440
팬젠	222110
바이옵트로	222160
AP위성	211270
에이트원	230980
큐리언트	115180
안트로젠	065660
슈프리마	236200
제이에스코퍼레이션	194370
유니트론텍	142210
크리스탈신소재	900250
자안바이오	221610
메디젠휴먼케어	236340
선바이오	067370
볼빅	206950
이엠티	232530
에스와이	109610
질경이	233990
코디엠	224060
잇츠한불	226320
지오씨	135160
크로넥스	215570
경남제약헬스케어	223310
와이아이케이	232140
육일씨엔에쓰	191410
휴젤	145020
한국맥널티	222980
덱스터	206560
아진산업	013310
강스템바이오텍	217730
에이원알폼	234070
에이치엘비제약	047920
메가엠디	133750
보광산업	225530
파크시스템스	140860
에치에프알	230240
예스티	122640
코스맥스엔비티	222040
멕아이씨에스	058110
에이치엔에스하이텍	044990
미애부	225850
엔에스	217820
미래테크놀로지	213090
세진중공업	075580
하이즈항공	221840
캔서롭	180400
매직마이크로	127160
케이디켐	221980
네오오토	212560
엔투텍	227950
케어젠	214370
아이진	185490
인카금융서비스	211050
나무가	190510
유앤아이	056090
금호에이치티	214330
제주항공	089590
본느	226340
파마리서치바이오	217950
연우	115960
럭스피아	092590
노브메타파마	229500
엔케이맥스	182400
현대코퍼레이션홀딩스	227840
KH E&T	226360
엑시콘	092870
엄지하우스	224810
메디쎄이	200580
뉴지랩파마	214870
케이엠제약	225430
한송네오텍	226440
패션플랫폼	225590
LIG넥스원	079550
넷게임즈	225570
제너셈	217190
타이거일렉	219130
HDC아이콘트롤스	039570
동일제강	002690
인포마크	175140
씨아이에스	222080
맘스터치	220630
에이텍티앤	224110
웹스	196700
AJ네트웍스	095570
파인텍	131760
마이더스AI	222810
심텍	222800
흥국에프엔비	189980
쎄노텍	222420
칩스앤미디어	094360
아시아경제	127710
엔에스컴퍼니	224760
아이쓰리시스템	214430
로지시스	067730
플럼라인생명과학	222670
켐트로스	220260
파마리서치	214450
자안코스메틱	219550
펩트론	087010
이노션	214320
토니모리	214420
네추럴FNP	086220
아이피몬스터	223220
미래에셋생명	085620
RFHIC	218410
동운아나텍	094170
민앤지	214180
유테크	178780
경보제약	214390
유투바이오	221800
인바이츠바이오코아	216400
이큐셀	160600
켐온	217600
코아스템	166480
에스엘바이오닉스	214310
SK디앤디	210980
씨앗	103660
베셀	177350
넵튠	217270
미래생명자원	218150
싸이맥스	160980
러셀	217500
픽셀플러스	087600
디딤	217620
제노포커스	187420
틸론	217880
관악산업	076340
우정바이오	215380
토박스코리아	215480
이노인스트루먼트	215790
우리산업	215360
메가스터디교육	215200
썬테크	217320
원텍	216280
휴센텍	215090
로보로보	215100
디알텍	214680
에이비프로바이오	195990
골프존	215000
클래시스	214150
비엔디생활건강	215050
엔에스쇼핑	138250
퓨쳐스트림네트웍스	214270
다이나믹디자인	145210
포시에스	189690
덕산네오룩스	213420
한솔제지	213500
디와이파워	210540
국일신동	060480
듀켐바이오	176750
바디텍메드	206640
스튜디오산타클로스	204630
썸에이지	208640
와이제이엠게임즈	193250
에이팩트	200470
휴메딕스	200670
래몽래인	200350
바이오로그디바이스	208710
서전기전	189860
아스트	067390
오킨스전자	080580
지란지교시큐리티	208350
NEW	160550
아이티센	124500
미래엔에듀파트너	208890
삼성물산	028260
녹십자엠에스	142280
디티앤씨	187220
셀바스헬스케어	208370
정다운	208140
하이로닉	149980
랩지노믹스	084650
빅텐츠	210120
에이디테크놀로지	200710
비씨월드제약	200780
미스터블루	207760
알테오젠	196170
베노홀딩스	206400
대창스틸	140520
피노텍	150440
에프엔씨엔터	173940
휴마시스	205470
씨에스윈드	112610
텔콘RF제약	200230
지엘팜텍	204840
글로벌텍스프리	204620
디에이테크놀로지	196490
삼성에스디에스	018260
아이케이세미콘	149010
액션스퀘어	205500
엑셈	205100
테고사이언스	191420
슈피겐코리아	192440
테라셈	182690
영우디에스피	143540
유니포인트	121060
드림시큐리티	203650
메디아나	041920
데브시스터즈	194480
만도	204320
프로스테믹스	203690
THQ	192410
고려시멘트	198440
판도라티비	202960
서연이화	200880
신화콘텍	187270
쿠쿠홀딩스	192400
파버나인	177830
덕신하우징	090410
창해에탄올	004650
윈하이텍	192390
아진엑스텍	059120
콜마비앤에이치	200130
화인베스틸	133820
에이비온	203400
트루윈	105550
큐엠씨	136660
데이터스트림즈	199150
툴젠	199800
코아시아옵틱스	196450
캐스텍코리아	071850
BGF	027410
나노	187790
케이사인	192250
코스맥스	192820
오이솔루션	138080
한국정보인증	053300
유비온	084440
솔루에타	154040
현대이지웰	090850
위월드	140660
코셋	189350
SGA솔루션즈	184230
대동고려삼	178600
청광건설	140290
기가레인	049080
인트로메딕	150840
한중엔시에스	107640
알티캐스트	085810
종근당	185750
현대공업	170030
엔브이에이치코리아	067570
디엠티	134580
신송홀딩스	006880
큐브엔터	182360
라이온켐텍	171120
램테크놀러지	171010
THE MIDONG	161570
골프존데카	183410
협진	138360
아세아시멘트	183190
해성옵틱스	076610
내츄럴엔도텍	168330
현대로템	064350
수프로	185190
테스나	131970
파수	150900
엘티씨	170920
지엔씨에너지	119850
한진칼	180640
아미코젠	092040
엔에이치엔	181710
GH신소재	130500
파이오링크	170790
KG ETS	151860
JB금융지주	175330
나스미디어	089600
하이골드12호	172580
대주이엔티	114920
렌딩머신	179720
에스에이티이엔지	158300
에스엔피제네틱스	086460
태양기계	116100
엑세스바이오	950130
DSR	155660
레고켐바이오	141080
한국패러랠	168490
동아에스티	170900
참존글로벌	158310
윈팩	097800
코렌텍	104540
제로투세븐	159580
아이원스	114810
우리이앤엘	153490
아이센스	099190
포티스	141020
스킨앤스킨	159910
SBI핀테크솔루션즈	950110
우리로	046970
디젠스	113810
지엠비코리아	013870
맥스로텍	141070
와이엠씨	155650
LG헬로비전	037560
아바텍	149950
동일고무벨트	163560
한국콜마	161890
한국타이어앤테크놀로지	161390
코이즈	121850
애경유화	161000
나노스	151910
SK렌터카	068400
네이블커뮤니케이션즈	153460
디지탈옵틱	106520
피엔티	137400
바다로19호	155900
사조씨푸드	014710
비아트론	141000
하이골드3호	153360
코오롱머티리얼	144620
빛샘전자	072950
한국ANKOR유전	152550
휴비스	079980
사람인에이치알	143240
뉴로스	126870
제룡산업	147830
남화토건	091590
케이탑리츠	145270
메지온	140410
원익머트리얼즈	104830
디엔에이링크	127120
GS리테일	007070
나이스디앤비	130580
시큐브	131090
서암기계공업	100660
인터지스	129260
씨유메디칼	115480
삼양사	145990
키네마스터	139670
비덴트	121800
신진에스엠	138070
이엠넷	123570
와이지엔터테인먼트	122870
쎄미시스코	136510
에이티세미콘	089530
테크윙	089030
씨큐브	101240
에스엠코어	007820
씨엔플러스	115530
하나투어	039130
로보스타	090360
대한과학	131220
원익피앤이	131390
아이디스	143160
에이블씨엔씨	078520
제이씨케미칼	137950
아이씨디	040910
제닉	123330
시티랩스	139050
삼원강재	023000
상아프론테크	089980
신세계인터내셔날	031430
에이리츠	140910
나이벡	138610
옵티시스	109080
대양전기공업	108380
한국항공우주	047810
롯데하이마트	071840
서연탑메탈	019770
한세엠케이	069640
코오롱플라스틱	138490
넥스트아이	137940
스카이이앤엠	131100
이마트	139480
DGB금융지주	139130
케이티스카이라이프	053210
엘아이에스	138690
세아특수강	019440
KMH	122450
골프존뉴딘홀딩스	121440
메리츠금융지주	138040
윈스	136540
하림	136480
한국종합기술	023350
이퓨쳐	134060
티케이케미칼	104480
BNK금융지주	138930
일진머티리얼즈	020150
부스타	008470
현대위아	011210
선진	136490
미원화학	134380
나노신소재	121600
케이아이엔엑스	093320
티피씨글로벌	130740
딜리	131180
엘비세미콘	061970
제이엔케이히터	126880
블루콤	033560
인트론바이오	048530
시디즈	134790
다나와	119860
알서포트	131370
인텍플러스	064290
티에스이	131290
HSD엔진	082740
이브이첨단소재	131400
대성에너지	117580
현대퓨처넷	126560
대정화금	120240
KTis	058860
한전산업	130660
피제이메탈	128660
디에이치피코리아	131030
에이루트	096690
엘브이엠씨	900140
티비씨	033830
시그네틱스	033170
한국전자인증	041460
디케이락	105740
코프라	126600
선데이토즈	123420
KH 일렉트론	111870
아나패스	123860
KNN	058400
비케이탑스	030790
누리플랜	069140
아이텍	119830
인화정공	101930
지나인제약	078650
아이씨케이	068940
한일진공	123840
휠라홀딩스	081660
알파홀딩스	117670
포메탈	119500
KTcs	058850
다원시스	068240
현대홈쇼핑	057050
씨젠	096530
와이솔	122990
하이비젼시스템	126700
화신정공	126640
코리아에프티	123410
도화엔지니어링	002150
엠에스오토텍	123040
이글루시큐리티	067920
대성산업	128820
아이마켓코리아	122900
한미약품	128940
인터로조	119610
하이텍팜	106190
우진	105840
크루셜텍	114120
무학	033920
에스디시스템	121890
알톤스포츠	123750
유비벨록스	089850
지유온	111820
오르비텍	046120
이연제약	102460
엑스큐어	070300
LX세미콘	108320
투비소프트	079970
한국화장품	123690
에스제이엠	123700
인피니트헬스케어	071200
모바일리더	100030
서진오토모티브	122690
한라홀딩스	060980
삼성생명	032830
신세계푸드	031440
이스트아시아홀딩스	900110
애머릿지	900100
케이씨에스	115500
씨케이에이치	900120
지트리비앤티	115450
삼기	122350
한화생명	088350
이미지스	115610
조선선재	120030
인포바인	115310
하이소닉	106080
모베이스	101330
지스마트글로벌	114570
코오롱인더	120110
KC코트렐	119650
지역난방공사	071320
락앤락	115390
스타플렉스	115570
우리넷	115440
아세아텍	050860
영흥	012160
폴라리스우노	114630
코디	080530
우리들휴브레인	118000
글로벌에스엠	900070
ITX-AI	099520
KPX생명과학	114450
디와이피엔에프	104460
멜파스	096640
위메이드	112040
한전기술	052690
셀바스AI	108860
이원컴포텍	088290
강원	114190
GKL	114090
휴맥스	115160
에이프로젠 H&G	109960
SK	034730
동방선기	099410
상상인인더스트리	101000
진매트릭스	109820
황금에스티	032560
비츠로셀	082920
하이트진로	000080
한스바이오메드	042520
동양생명	082640
NHN벅스	104200
아이앤씨	052860
유니온머티리얼	047400
케이엔더블유	105330
형지엘리트	093240
디에스케이	109740
제넥신	095700
톱텍	108230
동국S&C	100130
에스앤더블류	103230
키움증권	039490
게임빌	063080
영원무역	111770
동일금속	109860
우리금융캐피탈	033660
한미글로벌	053690
동아지질	028100
어보브반도체	102120
위메이드맥스	101730
이엔에프테크놀로지	102710
스맥	099440
SDN	099220
한국정밀기계	101680
STX중공업	071970
흥국	010240
우림기계	101170
티플랙스	081150
LX하우시스	108670
에스티오	098660
에이테크솔루션	071670
에스앤에스텍	101490
뷰웍스	100120
코오롱생명과학	102940
엔시트론	101400
한세실업	105630
컨버즈	109070
파인테크닉스	106240
미원홀딩스	107590
이수앱지스	086890
대성파인텍	104040
유비쿼스홀딩스	078070
메디톡스	086900
엠게임	058630
아이컴포넌트	059100
NAVER	035420
에이치엘비생명과학	067630
이크레더블	092130
부국철강	026940
KB금융	105560
세운메디칼	100700
한국철강	104700
마이크로컨텍솔	098120
이엠앤아이	083470
삼강엠앤티	100090
일진전기	103590
풍산	103140
LG이노텍	011070
아이엠	101390
웰크론한텍	076080
코리아에스이	101670
슈프리마에이치큐	094840
명문제약	017180
서울옥션	063170
이스트소프트	047560
비상교육	100220
청담러닝	096240
동성케미컬	102260
월덱스	101160
쎄트렉아이	099320
쌍방울	102280
브리지텍	064480
고영	098460
조이시티	067000
우진비앤지	018620
테스	095610
예스24	053280
엘디티	096870
LG유플러스	032640
메타바이오메드	059210
효성오앤비	097870
이엠네트웍스	087730
인바이오젠	101140
아시아나항공	020560
SBS미디어홀딩스	101060
SNT에너지	100840
진양홀딩스	100250
텔레필드	091440
이트론	096040
엔케이	085310
에스맥	097780
에스코넥	096630
일신바이오	068330
서원인텍	093920
이씨에스	067010
대창솔루션	096350
한전KPS	051600
아이에스이커머스	069920
알에프세미	096610
디엔에프	092070
일진파워	094820
비엠티	086670
이아이디	093230
기신정기	092440
이엠코리아	095190
KSS해운	044450
효성 ITX	094280
현우산업	092300
유나이티드	033270
다믈멀티미디어	093640
디아이씨	092200
에스에너지	095910
성우전자	081580
엘엠에스	073110
제이엠티	094970
오디텍	080520
ISC	095340
네오티스	085910
미래나노텍	095500
상보	027580
CJ제일제당	097950
바이오톡스텍	086040
팬오션	028670
연이비앤티	090740
옴니시스템	057540
푸른기술	094940
웨이브일렉트로	095270
한진중공업	097230
빅솔론	093190
JW홀딩스	096760
S&K폴리텍	091340
SK이노베이션	096770
율호	072770
갤럭시아머니트리	094480
에코프로	086520
엠피대산	065150
컴투스	078340
네오위즈	095660
삼성카드	029780
앤씨앤	092600
엔텔스	069410
베트남개발1	096300
알루코	001780
풍강	093380
웅진씽크빅	095720
동국제약	086450
케이프	064820
상신이디피	091580
한라IMS	092460
에프알텍	073540
이엠텍	091120
참좋은여행	094850
네오리진	094860
맵스리얼티1	094800
이베스트투자증권	078020
매커스	093520
오스템임플란트	048260
나노캠텍	091970
네오팜	092730
비에이치	090460
오스코텍	039200
켐트로닉스	089010
제이스텍	090470
동아엘텍	088130
메타랩스	090370
후성	093370
휴온스글로벌	084110
케이씨티	089150
파트론	091700
유니테스트	086390
휴림로봇	090710
LF	093050
에스에이티	060540
큐에스아이	066310
멀티캠퍼스	067280
주연테크	044380
코스맥스비티아이	044820
이노와이즈	086250
코세스	089890
인천도시가스	034590
성창오토텍	080470
넥스턴바이오	089140
제이티	089790
광진윈텍	090150
이녹스	088390
삼정펄프	009770
KEC	092220
KPX홀딩스	092230
THE E&M	089230
바텍	043150
한컴MDS	086960
HDC현대EP	089470
루멘스	038060
세원이앤씨	091090
CSA 코스믹	083660
티엘아이	062860
한국전자금융	063570
쇼박스	086980
팬엔터테인먼트	068050
루트로닉	085370
인포뱅크	039290
노루페인트	090350
아모레퍼시픽	090430
아이오케이	078860
동우팜투테이블	088910
롯데관광개발	032350
제이브이엠	054950
평화산업	090080
우진플라임	049800
팅크웨어	084730
신세계I&C	035510
진바이오텍	086060
정산애강	022220
진도	088790
에이스테크	088800
맥쿼리인프라	088980
롯데쇼핑	023530
셀트리온제약	068760
GST	083450
에너토크	019990
제우스	079370
한일네트웍스	046110
뉴프렉스	085670
유진테크	084370
크리스탈지노믹스	083790
바이오니아	064550
헬릭스미스	084990
인콘	083640
차바이오텍	085660
현대글로비스	086280
대봉엘에스	078140
와이엔텍	067900
케이엠	083550
티비에이치글로벌	084870
수성이노베이션	084180
하나금융지주	086790
한국코퍼레이션	050540
제일연마	001560
모다이노칩	080420
비에이치아이	083650
EMW	079190
GV	045890
현대리바트	079430
비보존 헬스케어	082800
자연과환경	043910
와토스코리아	079000
대한제강	084010
폴라리스오피스	041020
OQP	078590
서린바이오	038070
새론오토모티브	075180
그린케미칼	083420
가비아	079940
덕산하이메탈	077360
아바코	083930
하나마이크론	067310
엘오티베큠	083310
코스나인	082660
이상네트웍스	080010
대상홀딩스	084690
아리온	058220
코아스	071950
메디포스트	078160
우리바이오	082850
모두투어	080160
이월드	084680
동양고속	084670
한미반도체	042700
가온미디어	078890
쏠리드	050890
동일산업	004890
옵트론텍	082210
젬백스	082270
플랜티넷	075130
